         52294458 function calls (37544902 primitive calls) in 47.447 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      113    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       42    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:886(_update_crc)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      134    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       42    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Decompress' objects}
       42    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:316(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
        2    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       84    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
        4    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:140(__init__)
       84    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\encodings\cp437.py:14(decode)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:367(_get_cached)
      895    0.000    0.000    0.000    0.000 <string>:79(endframe)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:134(__new__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\__init__.py:121(dump)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       42    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:723(close)
       72    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:132(splitroot)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1199(_path_importer_cache)
      130    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       42    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:433(_decodeExtra)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\__init__.py:275(load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1186(_path_hooks)
       44    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:1892(_fpclose)
      149    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\opcode.py:37(<listcomp>)
       84    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
      131    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      188    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        5    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:280(compute_collision_enter)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:758(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(<module>)
       89    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      111    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <string>:57(resume)
        7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1347(_get_spec)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      106    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:217(get_component)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(_fill_cache)
      102    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:133(<listcomp>)
       11    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:685(__fspath__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:186(_EndRecData64)
      146    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      168    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
       42    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:693(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1441(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <string>:6(<module>)
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:69(__setitem__)
       86    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       72    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:990(_init)
        1    0.000    0.000    0.000    0.000 <string>:23(init)
